r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
1.49,0.3390006719033459,-1.3358652691265902,-0.5193549420433038,0.0,0.0,0.0,-0.3321402676939696,-0.6647243295292747,-1.1904958816406193,0.6711409395973155,-0.6711409395973155,0.6711409395973155
1.5,0.3463300723880921,-1.3100938981994228,-0.49388047291733306,0.0,0.0,0.0,-0.3203365942785745,-0.6434272315327562,-1.1605471395839997,0.6666666666666666,-0.6666666666666666,0.6666666666666666
1.51,0.35327696683454635,-1.2849821873170824,-0.4684225831773141,0.0,0.0,0.0,-0.3089746887945928,-0.6227305316879432,-1.1306742388064532,0.6622516556291391,-0.6622516556291391,0.6622516556291391
1.52,0.35985512763758665,-1.260528360513967,-0.44308455953300685,0.0,0.0,0.0,-0.29803960920451866,-0.6026336236718616,-1.1009792963751122,0.6578947368421053,-0.6578947368421053,0.6578947368421053
1.53,0.3660781907740339,-1.2367280258344389,-0.4179544182138021,0.0,0.0,0.0,-0.28751658046779616,-0.5831332545926089,-1.0715491894556322,0.6535947712418301,-0.6535947712418301,0.6535947712418301
1.54,0.3719596001201708,-1.2135745946398016,-0.39310675368108705,0.0,0.0,0.0,-0.2773910492304785,-0.5642239452891522,-1.0424574030317364,0.6493506493506493,-0.6493506493506493,0.6493506493506493
1.55,0.37751256211683826,-1.1910596466581356,-0.3686043714791446,0.0,0.0,0.0,-0.26764872820574237,-0.5458983563355548,-1.0137656618017252,0.6451612903225806,-0.6451612903225806,0.6451612903225806
1.56,0.38275000931950065,-1.1691732475009537,-0.3444997306644296,0.0,0.0,0.0,-0.2582756317061403,-0.5281476064753128,-0.9855253716900706,0.641025641025641,-0.641025641025641,0.641025641025641
1.57,0.3876845715648941,-1.147904224534044,-0.3208362181758233,0.0,0.0,0.0,-0.2492581035943415,-0.5109615493748084,-0.957778893335059,0.6369426751592356,-0.6369426751592356,0.6369426751592356
1.58,0.3923285536544644,-1.1272404062596326,-0.2976492748158498,0.0,0.0,0.0,-0.2405828387505988,-0.4943290138545693,-0.930560667220913,0.6329113924050632,-0.6329113924050632,0.6329113924050632
1.59,0.39669391860120096,-1.1071688297292348,-0.2749673901550417,0.0,0.0,0.0,-0.2322368990088619,-0.478238012119172,-0.9038982077651045,0.6289308176100629,-0.6289308176100629,0.6289308176100629
1.6,0.4007922756136395,-1.0876759199491777,-0.2528129816055291,0.0,0.0,0.0,-0.2242077243863605,-0.46267591994917756,-0.8778129816055291,0.625,-0.625,0.625
1.61,0.40463487210129473,-1.0687476447533912,-0.23120317109816513,0.0,0.0,0.0,-0.21648314032106547,-0.4476296323310311,-0.8523211835205253,0.6211180124223602,-0.6211180124223602,0.6211180124223602
1.62,0.4082325890818047,-1.0503696481916287,-0.21015047120767105,0.0,0.0,0.0,-0.20905136153547918,-0.43308569757434473,-0.827434421824955,0.6172839506172839,-0.6172839506172839,0.6172839506172839
1.6300000000000001,0.4115959394535361,-1.032527365107967,-0.18966339117429887,0.0,0.0,0.0,-0.20190099306180131,-0.4190304325926296,-0.8031603236896363,0.6134969325153374,-0.6134969325153374,0.6134969325153374
1.6400000000000001,0.414735068669954,-1.015206119257467,-0.1697469720438426,0.0,0.0,0.0,-0.19502102889102158,-0.4054500216964916,-0.7795030696048182,0.6097560975609756,-0.6097560975609756,0.6097560975609756
